"Date","Time","Computer Name","Public IP","Server","ISP","Latency","Download","Upload","Packet Loss","Result URL","Registered Organization","City"
2022-08-03, 13:53:00, mt-dsk-5631, 69.51.114.98,     Blackfoot - Helena MT (id = 34879),        Blackfoot Telephone Cooperative,        0.68 ms   (0.06 ms jitter),      93.41 Mbps (data used: 42.1 MB),        90.84 Mbps (data used: 112.7 MB),Not available., https://www.speedtest.net/result/c/3120f36f-c369-41f0-b0bb-ddeb3d162695,Blackfoot Telephone Cooperative Inc.,Missoula
2022-08-03, 13:53:45, mt-dsk-5631, 69.51.114.98,     Blackfoot - Helena MT (id = 34879),        Blackfoot Telephone Cooperative,        0.71 ms   (0.55 ms jitter),      92.85 Mbps (data used: 42.1 MB),        91.36 Mbps (data used: 115.6 MB),Not available., https://www.speedtest.net/result/c/f960fa43-97ae-4c13-bef9-7eefc006d144,Blackfoot Telephone Cooperative Inc.,Missoula
2022-08-08, 15:46:14, mt-dsk-5631, 69.51.114.98,     Blackfoot - Helena MT (id = 34879),        Blackfoot Telephone Cooperative,        0.78 ms   (0.06 ms jitter),      93.15 Mbps (data used: 61.9 MB),        93.25 Mbps (data used: 119.8 MB),Not available., https://www.speedtest.net/result/c/f804cdda-7dad-47dd-8cf5-f0efd0e80500,Blackfoot Telephone Cooperative Inc.,Missoula
2022-08-09, 09:17:47, mt-dsk-5631, 69.51.114.98,     Blackfoot - Helena MT (id = 34879),        Blackfoot Telephone Cooperative,        3.29 ms   (0.43 ms jitter),      91.86 Mbps (data used: 122.6 MB),        93.31 Mbps (data used: 116.8 MB),Not available., https://www.speedtest.net/result/c/5e3455af-1688-4fd9-b4b6-915d24e320e6,Blackfoot Telephone Cooperative Inc.,Missoula
2022-08-09, 09:22:03, mt-dsk-5631, 69.51.114.98,     Blackfoot - Helena MT (id = 34879),        Blackfoot Telephone Cooperative,        0.81 ms   (0.09 ms jitter),      91.85 Mbps (data used: 74.2 MB),        92.57 Mbps (data used: 131.7 MB),Not available., https://www.speedtest.net/result/c/2503a025-6f0c-48bb-af0b-4db32f45225a,Blackfoot Telephone Cooperative Inc.,Missoula
